original_text,predicted_specialization,cleaned_text
"Пока не поздно, всё гремит, почини механику, капитан!",Капитан,"Пока не поздно, всё гремит, почини механику, !"
"Немедленно, механика заклинила, чини, капитан!",Капитан,"Немедленно, механика заклинила, чини, !"
"Пока не поздно, капитан, механика дышит последними силами — не дай ей умереть!",Капитан,"Пока не поздно, механика дышит последними силами — не дай ей умереть!"
"Давай живее, капитан, механика дышит последними силами — не дай ей умереть!",Капитан,"Давай живее, механика дышит последними силами — не дай ей умереть!"
"Капитан, срочно, механика дышит последними силами — не дай ей умереть!",Капитан,"срочно, механика дышит последними силами — не дай ей умереть!"
"Пока не поздно, капитан, нам нужна подвижность, чини механику!",Капитан,"Пока не поздно, нам нужна подвижность, чини механику!"
"Нам нужна подвижность, капитан, чини механику!",Капитан,"Нам нужна подвижность, чини механику!"
"Быстрее, двигатель подвел, исправь, капитан!",Капитан,"Быстрее, двигатель подвел, исправь, !"
"Быстрее, капитан, срочно ремонтируй механику!",Капитан,"Быстрее, срочно ремонтируй механику!"
"Механика в хламе — чини, капитан, пока не взорвалось!",Капитан,"Механика в хламе — чини, пока не взорвалось!"
"Срочно ремонтируй механику, капитан!",Капитан,"Срочно ремонтируй механику, !"
"Капитан, давай живее, осмотри двигатель, там трещит!",Капитан,"давай живее, осмотри двигатель, там трещит!"
"Срочно, капитан, осмотри двигатель, там трещит!",Капитан,"Срочно, осмотри двигатель, там трещит!"
"Капитан, немедленно, почини механизмы, срочно!",Капитан,"немедленно, почини механизмы, срочно!"
"Пока не поздно, осмотри двигатель, там трещит, капитан!",Капитан,"Пока не поздно, осмотри двигатель, там трещит, !"
"Механика барахлит, капитан, действуй!",Капитан,"Механика барахлит, действуй!"
"Срочно, механика в хламе — чини, пока не взорвалось, капитан!",Капитан,"Срочно, механика в хламе — чини, пока не взорвалось, !"
"Давай живее, замени шестерни, давай живее, капитан!",Капитан,"Давай живее, замени шестерни, давай живее, !"
"Немедленно, капитан, механика заклинила, чини!",Капитан,"Немедленно, механика заклинила, чини!"
"Капитан, давай живее, замени шестерни, давай живее!",Капитан,"давай живее, замени шестерни, давай живее!"
"Немедленно, замени шестерни, давай живее, капитан!",Капитан,"Немедленно, замени шестерни, давай живее, !"
"Капитан, срочно, механика в хламе — чини, пока не взорвалось!",Капитан,"срочно, механика в хламе — чини, пока не взорвалось!"
"Быстрее, механика заклинила, чини, капитан!",Капитан,"Быстрее, механика заклинила, чини, !"
"Капитан, почини механизмы, срочно!",Капитан,"почини механизмы, срочно!"
"Срочно, почини механизмы, срочно, капитан!",Капитан,"Срочно, почини механизмы, срочно, !"
"Давай живее, нам нужна подвижность, чини механику, капитан!",Капитан,"Давай живее, нам нужна подвижность, чини механику, !"
"Капитан, быстрее, срочно ремонтируй механику!",Капитан,"быстрее, срочно ремонтируй механику!"
"Быстрее, срочно ремонтируй механику, капитан!",Капитан,"Быстрее, срочно ремонтируй механику, !"
"Капитан, нам нужна подвижность, чини механику!",Капитан,"нам нужна подвижность, чини механику!"
"Замени шестерни, капитан, давай живее!",Капитан,"Замени шестерни, давай живее!"
"Всё гремит, капитан, почини механику!",Капитан,"Всё гремит, почини механику!"
"Осмотри двигатель, там трещит, капитан!",Капитан,"Осмотри двигатель, там трещит, !"
"Капитан, срочно ремонтируй механику!",Капитан,срочно ремонтируй механику!
"Срочно, механика дышит последними силами — не дай ей умереть, капитан!",Капитан,"Срочно, механика дышит последними силами — не дай ей умереть, !"
"Капитан, давай живее, механика заклинила, чини!",Капитан,"давай живее, механика заклинила, чини!"
"Замени шестерни, давай живее, капитан!",Капитан,"Замени шестерни, давай живее, !"
"Немедленно, капитан, механика в хламе — чини, пока не взорвалось!",Капитан,"Немедленно, механика в хламе — чини, пока не взорвалось!"
"Капитан, механика дышит последними силами — не дай ей умереть!",Капитан,механика дышит последними силами — не дай ей умереть!
"Двигатель подвел, капитан, исправь!",Капитан,"Двигатель подвел, исправь!"
"Капитан, механика барахлит, действуй!",Капитан,"механика барахлит, действуй!"
"Капитан, немедленно, нам нужна подвижность, чини механику!",Капитан,"немедленно, нам нужна подвижность, чини механику!"
"Срочно, осмотри двигатель, там трещит, капитан!",Капитан,"Срочно, осмотри двигатель, там трещит, !"
"Немедленно, капитан, механика дышит последними силами — не дай ей умереть!",Капитан,"Немедленно, механика дышит последними силами — не дай ей умереть!"
"Капитан, осмотри двигатель, там трещит!",Капитан,"осмотри двигатель, там трещит!"
"Немедленно, капитан, срочно ремонтируй механику!",Капитан,"Немедленно, срочно ремонтируй механику!"
"Быстрее, капитан, почини механизмы, срочно!",Капитан,"Быстрее, почини механизмы, срочно!"
"Капитан, срочно, нам нужна подвижность, чини механику!",Капитан,"срочно, нам нужна подвижность, чини механику!"
"Немедленно, капитан, всё гремит, почини механику!",Капитан,"Немедленно, всё гремит, почини механику!"
"Капитан, давай живее, всё гремит, почини механику!",Капитан,"давай живее, всё гремит, почини механику!"
"Капитан, срочно, механика барахлит, действуй!",Капитан,"срочно, механика барахлит, действуй!"
"Быстрее, почини механизмы, срочно, капитан!",Капитан,"Быстрее, почини механизмы, срочно, !"
"Механика заклинила, капитан, чини!",Капитан,"Механика заклинила, чини!"
"Срочно, капитан, двигатель подвел, исправь!",Капитан,"Срочно, двигатель подвел, исправь!"
"Давай живее, капитан, нам нужна подвижность, чини механику!",Капитан,"Давай живее, нам нужна подвижность, чини механику!"
"Капитан, замени шестерни, давай живее!",Капитан,"замени шестерни, давай живее!"
"Механика барахлит, действуй, капитан!",Капитан,"Механика барахлит, действуй, !"
"Нам нужна подвижность, чини механику, капитан!",Капитан,"Нам нужна подвижность, чини механику, !"
"Немедленно, капитан, осмотри двигатель, там трещит!",Капитан,"Немедленно, осмотри двигатель, там трещит!"
"Пока не поздно, замени шестерни, давай живее, капитан!",Капитан,"Пока не поздно, замени шестерни, давай живее, !"
"Капитан, немедленно, двигатель подвел, исправь!",Капитан,"немедленно, двигатель подвел, исправь!"
"Немедленно, механика в хламе — чини, пока не взорвалось, капитан!",Капитан,"Немедленно, механика в хламе — чини, пока не взорвалось, !"
"Давай живее, механика заклинила, чини, капитан!",Капитан,"Давай живее, механика заклинила, чини, !"
"Капитан, давай живее, механика дышит последними силами — не дай ей умереть!",Капитан,"давай живее, механика дышит последними силами — не дай ей умереть!"
"Пока не поздно, капитан, механика в хламе — чини, пока не взорвалось!",Капитан,"Пока не поздно, механика в хламе — чини, пока не взорвалось!"
"Почини механизмы, капитан, срочно!",Капитан,"Почини механизмы, срочно!"
"Срочно, капитан, почини механизмы, срочно!",Капитан,"Срочно, почини механизмы, срочно!"
"Немедленно, капитан, почини механизмы, срочно!",Капитан,"Немедленно, почини механизмы, срочно!"
"Давай живее, капитан, почини механизмы, срочно!",Капитан,"Давай живее, почини механизмы, срочно!"
"Капитан, механика в хламе — чини, пока не взорвалось!",Капитан,"механика в хламе — чини, пока не взорвалось!"
"Давай живее, механика дышит последними силами — не дай ей умереть, капитан!",Капитан,"Давай живее, механика дышит последними силами — не дай ей умереть, !"
"Давай живее, осмотри двигатель, там трещит, капитан!",Капитан,"Давай живее, осмотри двигатель, там трещит, !"
"Срочно, капитан, срочно ремонтируй механику!",Капитан,"Срочно, срочно ремонтируй механику!"
"Срочно, механика барахлит, действуй, капитан!",Капитан,"Срочно, механика барахлит, действуй, !"
"Капитан, пока не поздно, срочно ремонтируй механику!",Капитан,"пока не поздно, срочно ремонтируй механику!"
"Капитан, быстрее, нам нужна подвижность, чини механику!",Капитан,"быстрее, нам нужна подвижность, чини механику!"
"Срочно, механика заклинила, чини, капитан!",Капитан,"Срочно, механика заклинила, чини, !"
"Капитан, немедленно, всё гремит, почини механику!",Капитан,"немедленно, всё гремит, почини механику!"
Механика дышит последними силами — не дай ей умереть!,Near,Механика дышит последними силами — не дай ей умереть!
"Пока не поздно, механика барахлит, действуй, капитан!",Капитан,"Пока не поздно, механика барахлит, действуй, !"
"Пока не поздно, нам нужна подвижность, чини механику, капитан!",Капитан,"Пока не поздно, нам нужна подвижность, чини механику, !"
"Срочно, механика барахлит, действуй, охранник!",Охранник,"Срочно, механика барахлит, действуй, !"
"Охранник, немедленно, почини механизмы, срочно!",Охранник,"немедленно, почини механизмы, срочно!"
"Охранник, механика барахлит, действуй!",Охранник,"механика барахлит, действуй!"
"Нам нужна подвижность, охранник, чини механику!",Охранник,"Нам нужна подвижность, чини механику!"
"Механика в хламе — чини, охранник, пока не взорвалось!",Охранник,"Механика в хламе — чини, пока не взорвалось!"
"Охранник, быстрее, механика заклинила, чини!",Охранник,"быстрее, механика заклинила, чини!"
"Охранник, немедленно, двигатель подвел, исправь!",Охранник,"немедленно, двигатель подвел, исправь!"
"Механика барахлит, охранник, действуй!",Охранник,"Механика барахлит, действуй!"
"Охранник, быстрее, срочно ремонтируй механику!",Охранник,"быстрее, срочно ремонтируй механику!"
"Охранник, срочно, механика в хламе — чини, пока не взорвалось!",Охранник,"срочно, механика в хламе — чини, пока не взорвалось!"
"Двигатель подвел, исправь, охранник!",Охранник,"Двигатель подвел, исправь, !"
"Охранник, почини механизмы, срочно!",Охранник,"почини механизмы, срочно!"
"Охранник, пока не поздно, механика заклинила, чини!",Охранник,"пока не поздно, механика заклинила, чини!"
"Пока не поздно, механика барахлит, действуй, охранник!",Охранник,"Пока не поздно, механика барахлит, действуй, !"
"Давай живее, механика барахлит, действуй, охранник!",Охранник,"Давай живее, механика барахлит, действуй, !"
"Немедленно, срочно ремонтируй механику, охранник!",Охранник,"Немедленно, срочно ремонтируй механику, !"
"Охранник, срочно, почини механизмы, срочно!",Охранник,"срочно, почини механизмы, срочно!"
"Быстрее, нам нужна подвижность, чини механику, охранник!",Охранник,"Быстрее, нам нужна подвижность, чини механику, !"
"Охранник, осмотри двигатель, там трещит!",Охранник,"осмотри двигатель, там трещит!"
"Срочно, охранник, двигатель подвел, исправь!",Охранник,"Срочно, двигатель подвел, исправь!"
"Быстрее, охранник, механика дышит последними силами — не дай ей умереть!",Охранник,"Быстрее, механика дышит последними силами — не дай ей умереть!"
"Пока не поздно, двигатель подвел, исправь, охранник!",Охранник,"Пока не поздно, двигатель подвел, исправь, !"
"Пока не поздно, охранник, механика заклинила, чини!",Охранник,"Пока не поздно, механика заклинила, чини!"
"Давай живее, охранник, механика заклинила, чини!",Охранник,"Давай живее, механика заклинила, чини!"
"Быстрее, охранник, механика барахлит, действуй!",Охранник,"Быстрее, механика барахлит, действуй!"
"Срочно, механика дышит последними силами — не дай ей умереть, охранник!",Охранник,"Срочно, механика дышит последними силами — не дай ей умереть, !"
"Охранник, всё гремит, почини механику!",Охранник,"всё гремит, почини механику!"
"Осмотри двигатель, охранник, там трещит!",Охранник,"Осмотри двигатель, там трещит!"
"Пока не поздно, охранник, замени шестерни, давай живее!",Охранник,"Пока не поздно, замени шестерни, давай живее!"
"Охранник, пока не поздно, нам нужна подвижность, чини механику!",Охранник,"пока не поздно, нам нужна подвижность, чини механику!"
"Охранник, быстрее, замени шестерни, давай живее!",Охранник,"быстрее, замени шестерни, давай живее!"
"Пока не поздно, механика дышит последними силами — не дай ей умереть, охранник!",Охранник,"Пока не поздно, механика дышит последними силами — не дай ей умереть, !"
"Немедленно, механика заклинила, чини, охранник!",Охранник,"Немедленно, механика заклинила, чини, !"
"Пока не поздно, осмотри двигатель, там трещит, охранник!",Охранник,"Пока не поздно, осмотри двигатель, там трещит, !"
"Охранник, двигатель подвел, исправь!",Охранник,"двигатель подвел, исправь!"
"Срочно, охранник, механика в хламе — чини, пока не взорвалось!",Охранник,"Срочно, механика в хламе — чини, пока не взорвалось!"
"Быстрее, срочно ремонтируй механику, охранник!",Охранник,"Быстрее, срочно ремонтируй механику, !"
"Механика дышит последними силами — не дай ей умереть, охранник!",Охранник,"Механика дышит последними силами — не дай ей умереть, !"
"Давай живее, двигатель подвел, исправь, охранник!",Охранник,"Давай живее, двигатель подвел, исправь, !"
"Срочно ремонтируй механику, охранник!",Охранник,"Срочно ремонтируй механику, !"
"Охранник, немедленно, механика заклинила, чини!",Охранник,"немедленно, механика заклинила, чини!"
"Давай живее, механика заклинила, чини, охранник!",Охранник,"Давай живее, механика заклинила, чини, !"
"Почини механизмы, срочно, охранник!",Охранник,"Почини механизмы, срочно, !"
Срочно ремонтируй механику!,Near,Срочно ремонтируй механику!
"Охранник, механика заклинила, чини!",Охранник,"механика заклинила, чини!"
"Быстрее, осмотри двигатель, там трещит, охранник!",Охранник,"Быстрее, осмотри двигатель, там трещит, !"
"Срочно, двигатель подвел, исправь, охранник!",Охранник,"Срочно, двигатель подвел, исправь, !"
"Срочно, охранник, механика дышит последними силами — не дай ей умереть!",Охранник,"Срочно, механика дышит последними силами — не дай ей умереть!"
"Пока не поздно, охранник, осмотри двигатель, там трещит!",Охранник,"Пока не поздно, осмотри двигатель, там трещит!"
"Пока не поздно, срочно ремонтируй механику, охранник!",Охранник,"Пока не поздно, срочно ремонтируй механику, !"
"Охранник, давай живее, механика дышит последними силами — не дай ей умереть!",Охранник,"давай живее, механика дышит последними силами — не дай ей умереть!"
"Быстрее, всё гремит, почини механику, охранник!",Охранник,"Быстрее, всё гремит, почини механику, !"
"Охранник, срочно, осмотри двигатель, там трещит!",Охранник,"срочно, осмотри двигатель, там трещит!"
"Немедленно, двигатель подвел, исправь, охранник!",Охранник,"Немедленно, двигатель подвел, исправь, !"
"Давай живее, охранник, почини механизмы, срочно!",Охранник,"Давай живее, почини механизмы, срочно!"
"Быстрее, механика в хламе — чини, пока не взорвалось, охранник!",Охранник,"Быстрее, механика в хламе — чини, пока не взорвалось, !"
"Срочно, охранник, почини механизмы, срочно!",Охранник,"Срочно, почини механизмы, срочно!"
"Пока не поздно, охранник, почини механизмы, срочно!",Охранник,"Пока не поздно, почини механизмы, срочно!"
"Охранник, механика дышит последними силами — не дай ей умереть!",Охранник,механика дышит последними силами — не дай ей умереть!
"Охранник, немедленно, всё гремит, почини механику!",Охранник,"немедленно, всё гремит, почини механику!"
"Немедленно, механика барахлит, действуй, охранник!",Охранник,"Немедленно, механика барахлит, действуй, !"
"Охранник, срочно, двигатель подвел, исправь!",Охранник,"срочно, двигатель подвел, исправь!"
"Пока не поздно, охранник, всё гремит, почини механику!",Охранник,"Пока не поздно, всё гремит, почини механику!"
"Охранник, срочно, срочно ремонтируй механику!",Охранник,"срочно, срочно ремонтируй механику!"
"Давай живее, замени шестерни, давай живее, охранник!",Охранник,"Давай живее, замени шестерни, давай живее, !"
"Осмотри двигатель, там трещит, охранник!",Охранник,"Осмотри двигатель, там трещит, !"
"Охранник, давай живее, замени шестерни, давай живее!",Охранник,"давай живее, замени шестерни, давай живее!"
"Охранник, срочно, механика дышит последними силами — не дай ей умереть!",Охранник,"срочно, механика дышит последними силами — не дай ей умереть!"
"Давай живее, осмотри двигатель, там трещит, охранник!",Охранник,"Давай живее, осмотри двигатель, там трещит, !"
"Охранник, быстрее, почини механизмы, срочно!",Охранник,"быстрее, почини механизмы, срочно!"
"Немедленно, охранник, всё гремит, почини механику!",Охранник,"Немедленно, всё гремит, почини механику!"
"Охранник, нам нужна подвижность, чини механику!",Охранник,"нам нужна подвижность, чини механику!"
"Охранник, давай живее, механика барахлит, действуй!",Охранник,"давай живее, механика барахлит, действуй!"
"Замени шестерни, давай живее, охранник!",Охранник,"Замени шестерни, давай живее, !"
"Пока не поздно, почини механизмы, срочно, охранник!",Охранник,"Пока не поздно, почини механизмы, срочно, !"
"Немедленно, нам нужна подвижность, чини механику, охранник!",Охранник,"Немедленно, нам нужна подвижность, чини механику, !"
"Охранник, немедленно, механика в хламе — чини, пока не взорвалось!",Охранник,"немедленно, механика в хламе — чини, пока не взорвалось!"
"Охранник, срочно ремонтируй механику!",Охранник,срочно ремонтируй механику!
"Охранник, быстрее, всё гремит, почини механику!",Охранник,"быстрее, всё гремит, почини механику!"
"Быстрее, охранник, срочно ремонтируй механику!",Охранник,"Быстрее, срочно ремонтируй механику!"
"Нам нужна подвижность, чини механику, охранник!",Охранник,"Нам нужна подвижность, чини механику, !"
"Срочно, нам нужна подвижность, чини механику, охранник!",Охранник,"Срочно, нам нужна подвижность, чини механику, !"
"Охранник, немедленно, замени шестерни, давай живее!",Охранник,"немедленно, замени шестерни, давай живее!"
"Механика барахлит, действуй, охранник!",Охранник,"Механика барахлит, действуй, !"
"Немедленно, осмотри двигатель, там трещит, охранник!",Охранник,"Немедленно, осмотри двигатель, там трещит, !"
"Срочно, охранник, осмотри двигатель, там трещит!",Охранник,"Срочно, осмотри двигатель, там трещит!"
"Охранник, давай живее, двигатель подвел, исправь!",Охранник,"давай живее, двигатель подвел, исправь!"
"Срочно, охранник, замени шестерни, давай живее!",Охранник,"Срочно, замени шестерни, давай живее!"
"Быстрее, охранник, двигатель подвел, исправь!",Охранник,"Быстрее, двигатель подвел, исправь!"
"Охранник, быстрее, осмотри двигатель, там трещит!",Охранник,"быстрее, осмотри двигатель, там трещит!"
"Пока не поздно, охранник, механика дышит последними силами — не дай ей умереть!",Охранник,"Пока не поздно, механика дышит последними силами — не дай ей умереть!"
"Охранник, пока не поздно, осмотри двигатель, там трещит!",Охранник,"пока не поздно, осмотри двигатель, там трещит!"
"Охранник, быстрее, механика дышит последними силами — не дай ей умереть!",Охранник,"быстрее, механика дышит последними силами — не дай ей умереть!"
"Пока не поздно, механика заклинила, чини, охранник!",Охранник,"Пока не поздно, механика заклинила, чини, !"
"Пока не поздно, нам нужна подвижность, чини механику, охранник!",Охранник,"Пока не поздно, нам нужна подвижность, чини механику, !"
"Немедленно, замени шестерни, давай живее, охранник!",Охранник,"Немедленно, замени шестерни, давай живее, !"
"Немедленно, охранник, нам нужна подвижность, чини механику!",Охранник,"Немедленно, нам нужна подвижность, чини механику!"
"Охранник, срочно, замени шестерни, давай живее!",Охранник,"срочно, замени шестерни, давай живее!"
"Быстрее, замени шестерни, давай живее, охранник!",Охранник,"Быстрее, замени шестерни, давай живее, !"
"Давай живее, охранник, осмотри двигатель, там трещит!",Охранник,"Давай живее, осмотри двигатель, там трещит!"
"Быстрее, механика заклинила, чини, медик!",Медик,"Быстрее, механика заклинила, чини, !"
"Медик, давай живее, срочно ремонтируй механику!",Медик,"давай живее, срочно ремонтируй механику!"
"Замени шестерни, медик, давай живее!",Медик,"Замени шестерни, давай живее!"
"Давай живее, медик, двигатель подвел, исправь!",Медик,"Давай живее, двигатель подвел, исправь!"
"Двигатель подвел, исправь, медик!",Медик,"Двигатель подвел, исправь, !"
"Быстрее, срочно ремонтируй механику, медик!",Медик,"Быстрее, срочно ремонтируй механику, !"
"Быстрее, медик, нам нужна подвижность, чини механику!",Медик,"Быстрее, нам нужна подвижность, чини механику!"
"Всё гремит, медик, почини механику!",Медик,"Всё гремит, почини механику!"
"Пока не поздно, замени шестерни, давай живее, медик!",Медик,"Пока не поздно, замени шестерни, давай живее, !"
"Срочно, двигатель подвел, исправь, медик!",Медик,"Срочно, двигатель подвел, исправь, !"
"Медик, быстрее, срочно ремонтируй механику!",Медик,"быстрее, срочно ремонтируй механику!"
"Немедленно, механика заклинила, чини, медик!",Медик,"Немедленно, механика заклинила, чини, !"
"Механика барахлит, медик, действуй!",Медик,"Механика барахлит, действуй!"
"Механика заклинила, медик, чини!",Медик,"Механика заклинила, чини!"
"Давай живее, механика барахлит, действуй, медик!",Медик,"Давай живее, механика барахлит, действуй, !"
"Немедленно, осмотри двигатель, там трещит, медик!",Медик,"Немедленно, осмотри двигатель, там трещит, !"
"Всё гремит, почини механику, медик!",Медик,"Всё гремит, почини механику, !"
"Механика заклинила, чини, медик!",Медик,"Механика заклинила, чини, !"
"Почини механизмы, срочно, медик!",Медик,"Почини механизмы, срочно, !"
"Немедленно, почини механизмы, срочно, медик!",Медик,"Немедленно, почини механизмы, срочно, !"
"Срочно, медик, механика заклинила, чини!",Медик,"Срочно, механика заклинила, чини!"
"Давай живее, медик, осмотри двигатель, там трещит!",Медик,"Давай живее, осмотри двигатель, там трещит!"
"Медик, почини механизмы, срочно!",Медик,"почини механизмы, срочно!"
"Немедленно, медик, нам нужна подвижность, чини механику!",Медик,"Немедленно, нам нужна подвижность, чини механику!"
"Быстрее, почини механизмы, срочно, медик!",Медик,"Быстрее, почини механизмы, срочно, !"
"Медик, срочно, механика заклинила, чини!",Медик,"срочно, механика заклинила, чини!"
"Замени шестерни, давай живее, медик!",Медик,"Замени шестерни, давай живее, !"
"Медик, осмотри двигатель, там трещит!",Медик,"осмотри двигатель, там трещит!"
"Медик, пока не поздно, срочно ремонтируй механику!",Медик,"пока не поздно, срочно ремонтируй механику!"
"Немедленно, нам нужна подвижность, чини механику, медик!",Медик,"Немедленно, нам нужна подвижность, чини механику, !"
"Пока не поздно, срочно ремонтируй механику, медик!",Медик,"Пока не поздно, срочно ремонтируй механику, !"
"Давай живее, всё гремит, почини механику, медик!",Медик,"Давай живее, всё гремит, почини механику, !"
"Немедленно, медик, почини механизмы, срочно!",Медик,"Немедленно, почини механизмы, срочно!"
"Срочно, медик, механика барахлит, действуй!",Медик,"Срочно, механика барахлит, действуй!"
"Пока не поздно, механика дышит последними силами — не дай ей умереть, медик!",Медик,"Пока не поздно, механика дышит последними силами — не дай ей умереть, !"
"Медик, быстрее, механика заклинила, чини!",Медик,"быстрее, механика заклинила, чини!"
"Немедленно, срочно ремонтируй механику, медик!",Медик,"Немедленно, срочно ремонтируй механику, !"
"Давай живее, медик, нам нужна подвижность, чини механику!",Медик,"Давай живее, нам нужна подвижность, чини механику!"
"Немедленно, медик, замени шестерни, давай живее!",Медик,"Немедленно, замени шестерни, давай живее!"
"Медик, всё гремит, почини механику!",Медик,"всё гремит, почини механику!"
"Медик, немедленно, осмотри двигатель, там трещит!",Медик,"немедленно, осмотри двигатель, там трещит!"
"Механика барахлит, действуй, медик!",Медик,"Механика барахлит, действуй, !"
