text,label
"Капитан, веди, мы идём за тобой!",следование
"Помощник, не тормози, пошли!",следование
"Медик, следи за мной, осторожно!",следование
"Джулиан, не теряй меня из виду!",следование
"Все ко мне, пошли вместе!",следование
"Лео, держись рядом!",следование
"Бен, иди следом, не блуждай!",следование
"Капитан, следуй!",следование
"Инженер, подтягивайся!",следование
"Механик, за мной на мостик!",следование
"Эй, все, пошли за мной!",следование
"Кайл, держись позади!",следование
"Медик, иди следом, не отставай!",следование
"Следуй за мной, пока безопасно!",следование
"Райан, ко мне, держись поближе!",следование
Все следуйте за капитаном!,следование
"Не отставайте, идём вместе!",следование
"Помощник, пошли за мной, живо!",следование
"Трэси, туши огонь!",пожар
"Кайл, срочно потуши корабль!",пожар
"Инженер, у нас что-то горит!",пожар
"Чёрт возьми, у нас горит!",пожар
"Блин, опять всё вспыхнуло!",пожар
"Твою ж, пламя прямо у реактора!",пожар
"Да чтоб тебя, туши уже этот пожар!",пожар
"Быстро потушите, пока всё не к чертям!",пожар
"Горим к чертям, тушите немедленно!",пожар
"Блин, огонь у кислорода, потуши срочно!",пожар
"Капитан, у нас пламя, действуй быстрее, чёрт!",пожар
"Твою же, огонь у реактора, тушите!",пожар
"Блин, туши немедленно, пока мы не сгорели!",пожар
"Огонь, чёрт побери, потуши его!",пожар
"Срочно туши, пока всё не пошло по борту!",пожар
"Блин, огонь, хватай огнетушитель!",пожар
"Горим, чёрт возьми, делай хоть что-то!",пожар
"Да кто нибудь, потушите этот сраный огонь!",пожар
"Быстро тушите, иначе всем крышка!",пожар
"Блин, у нас пожар, действуй, инженер!",пожар
"Тушите всё к чертям, пока не поздно!",пожар
"Срочно потуши, мать его, пока не бахнуло!",пожар
"Чёрт, горим!",пожар
"Пламя растёт, тушите уже, чёрт возьми!",пожар
"Ребята, всё горит, блин!",пожар
"Митчел, стой на месте, пока я проверяю балласт.",Подождите
"Подожди немного, я закрываю дверь в реакторную.",Подождите
"Харпер, замри, я открою шлюз вручную.",Подождите
"Оливия, подожди, пока давление стабилизируется.",Подождите
"Грейс, не двигайся, пока мы продуваем отсек.",Подождите
"Подожди секунду, я проверю реакторные клапаны.",Подождите
"Оливия, не двигайся, пока я герметизирую люк.",Подождите
"Подожди, не трогай управление балластом!",Подождите
"Харпер, остановись, ты мешаешь ремонту.",Подождите
"Подожди немного, давление не стабилизировалось.",Подождите
"Митчел, стой, пока я проверю корпус.",Подождите
"Грейс, подожди, шлюз не герметичен!",Подождите
"Подожди немного, пока уровень воды не спадёт.",Подождите
"Оливия, постой, не открывай клапан!",Подождите
"Харпер, подожди, пока я сброшу давление.",Подождите
"Капитан, стой спокойно, мы под давлением.",Подождите
"Подожди, пока отсек герметизируется.",Подождите
"Грейс, не двигайся, я закрою люк.",Подождите
"Митчел, подожди, не трогай панель.",Подождите
"Медик, стой спокойно.",Подождите
"Подожди, Харпер, проверяю балласт.",Подождите
"Механик, подожди, пока я проверю давление.",Подождите
"Оливия, не двигайся, шлюз открыт!",Подождите
"Подожди, давление в отсеке ещё не выровнялось.",Подождите
"Штурман, замри, мы под давлением, не открывай люк!",Подождите
"Ричард, течь в балласте А, устрани немедленно!",Устранить утечки
"Механик, устрани течь у нижнего шлюза!",Устранить утечки
Вода поступает через корпус — заделай пробоину у реактора!,Устранить утечки
"Инженер, устрани утечку под насосной!",Устранить утечки
"Свен, течь в кормовой части корпуса!",Устранить утечки
"Ричард, устрани течь в отсеке с генераторами.",Устранить утечки
Устрани утечку воздуха из каюты экипажа!,Устранить утечки
"Механик, пробоина в носовом отсеке — заделай!",Устранить утечки
"Вода идёт через стык у шлюза, устрани течь!",Устранить утечки
"Инженер, течь в реакторной, латай быстро!",Устранить утечки
"Ричард, течь под реактором — устрани немедленно!",Устранить утечки
"Механик, устранить течь в отсеке балластов.",Устранить утечки
Устрани пробоину у иллюминатора!,Устранить утечки
Вода из потолка — заделай утечку в верхней секции!,Устранить утечки
"ЭМеханик, устрани течь в реакторной трубе!",Устранить утечки
"Свен, пробоина под медотсеком, заделай!",Устранить утечки
"Инженер, устрани утечку возле турбины.",Устранить утечки
"Течь в грузовом отсеке, заделай быстро!",Устранить утечки
Устрани течь у реакторной двери!,Устранить утечки
"Свен, течь у батарей — устрани!",Устранить утечки
"Инженер, заделай пробоину в отсеке двигателя.",Устранить утечки
Устрани утечку в верхней секции корпуса!,Устранить утечки
Течь у выхода из балласта — латай быстро!,Устранить утечки
"Инженер, латай пробоину под реактором, вода идёт быстро!",Устранить утечки
"Механик, заделай течь в отсеке с турбиной, пока не затопило всё!",Устранить утечки
"Очисти фильтры в кислородной системе, они забились.",Очистить элементы
"Протри окно на капитанском посту, ничего не видно.",Очистить элементы
Очисти систему фильтрации воздуха в медотсеке.,Очистить элементы
Протри линзу навигационной камеры.,Очистить элементы
Очисти фильтры водозабора балласта.,Очистить элементы
Очисти от грязи панель управления балластом.,Очистить элементы
Очисти вентиляционные отверстия у реактора.,Очистить элементы
Протри ил с внешней камеры.,Очистить элементы
Очисти стекло у пилотской панели.,Очистить элементы
Очисти кислородные трубы от ржавчины.,Очистить элементы
Очисти фильтр подачи топлива.,Очистить элементы
Протри пульт управления насосом.,Очистить элементы
Очисти наружные прожекторы.,Очистить элементы
Очисти датчик давления у балласта.,Очистить элементы
Очисти пол от масла у генератора.,Очистить элементы
Очисти фильтр охлаждения реактора.,Очистить элементы
Протри стекло в шлюзовой камере.,Очистить элементы
Почисти фильтр на кислородной установке.,Очистить элементы
Очисти панели навигации.,Очистить элементы
Очисти стенки реактора от налёта.,Очистить элементы
Очисти трубы подачи воды.,Очистить элементы
Почисти датчики температуры.,Очистить элементы
Очисти фильтры вентиляции.,Очистить элементы
"Очисти внутреннюю камеру шлюза, там грибок пошёл.",Очистить элементы
"Протри контрольную панель у генератора, вся в мазуте.",Очистить элементы
"Оливия, реактор барахлит — проверь и почини регуляторы.",Ремонт повреждённых систем
"Леон, проводка в двигателе повреждена, чини!",Ремонт повреждённых систем
"Электрик, ремонтируй распределительный узел в коридоре.",Ремонт повреждённых систем
"Джек, отремонтируй аккумулятор в энергосекции.",Ремонт повреждённых систем
"Капитан, почини связь с командным пунктом.",Ремонт повреждённых систем
"Механик, ремонтируй систему охлаждения реактора.",Ремонт повреждённых систем
"Свен, восстанови питание на навигационной консоли.",Ремонт повреждённых систем
"Леон, отремонтируй насос в балласте С.",Ремонт повреждённых систем
"Джек, проверь и почини систему распределения энергии.",Ремонт повреждённых систем
"Электрик, восстанови соединение в распределителе.",Ремонт повреждённых систем
"Оливия, реактор не включается — проверь контакты.",Ремонт повреждённых систем
"Свен, почини генератор в корме.",Ремонт повреждённых систем
"Леон, отремонтируй шлюз, дверь не закрывается.",Ремонт повреждённых систем
"Ричард, восстанови предохранители в реакторной.",Ремонт повреждённых систем
"Джек, отремонтируй систему связи.",Ремонт повреждённых систем
"Электрик, восстанови освещение на нижней палубе.",Ремонт повреждённых систем
"Механик, почини насос охлаждения.",Ремонт повреждённых систем
"Оливия, реактор греется — проверь охлаждение!",Ремонт повреждённых систем
"Леон, отремонтируй шлюзовую систему.",Ремонт повреждённых систем
"Джек, восстанови питание у систем связи.",Ремонт повреждённых систем
"Электрик, отремонтируй разъёмы у распределителя.",Ремонт повреждённых систем
"Ричард, почини главный реактор.",Ремонт повреждённых систем
"Механик, восстанови управление дверями.",Ремонт повреждённых систем
"Электрик, отремонтируй главный распределительный щит.",Ремонт повреждённых систем
"Инженер, проверь и восстанови систему охлаждения реактора.",Ремонт повреждённых систем
Почини механические системы!,Ремонт механических систем
"Инженер, срочно ремонтируй мехнику!",Ремонт механических систем
"Чини механику, блин!",Ремонт механических систем
"Механик, механические системы в хлам, почини!",Ремонт механических систем
"Хватай инструменты, ремонтируй механику!",Ремонт механических систем
"Механика барахлит, чини срочно!",Ремонт механических систем
"Капитан, механические системы требуют ремонта!",Ремонт механических систем
"Почини всю мехнику, быстро!",Ремонт механических систем
"Механик, механика сломана, действуй!",Ремонт механических систем
"Чёрт, ремонтируй механические системы!",Ремонт механических систем
Мех системы в аварийном состоянии!,Ремонт механических систем
"Инженер, почини механику лодки немедленно!",Ремонт механических систем
"Блин, механика не работает, чини!",Ремонт механических систем
Ремонтируй все механические части!,Ремонт механических систем
Срочно мехнику в порядок!,Ремонт механических систем
"Помощник, механические системы почини!",Ремонт механических систем
"Чини механику, пока не поздно!",Ремонт механических систем
"Механика глючит, ремонтируй!",Ремонт механических систем
Все механические системы на ремонт!,Ремонт механических систем
"Почини мехнику быстро, чёрт!",Ремонт механических систем
"Механические системы в ноль, чини!",Ремонт механических систем
"Хватай гаечный ключ, ремонтируй!",Ремонт механических систем
Механику спасай!,Ремонт механических систем
"Инженер, почини механические системы сейчас же!",Ремонт механических систем
"Блин, мехника сломалась, чините!",Ремонт механических систем
Почини электрику срочно!,Ремонт электрических систем
"Инженер, электрические системы горят, чини!",Ремонт электрических систем
"Электрика в хлам, ремонтируй!",Ремонт электрических систем
"Механик, электрика барахлит, почини блин!",Ремонт электрических систем
"Хватай отвёртку, чини электрику!",Ремонт электрических систем
"Все лампочки мигают, ремонтируй!",Ремонт электрических систем
"Капитан, электрические системы на нуле!",Ремонт электрических систем
Почини всю проводку срочно!,Ремонт электрических систем
"Электрика искрит, действуй!",Ремонт электрических систем
"Чёрт возьми, ремонтируй электрику!",Ремонт электрических систем
Электрические системы в аварии!,Ремонт электрических систем
"Инженер, почини электрику лодки немедленно!",Ремонт электрических систем
"Блин, свет погас, чини!",Ремонт электрических систем
Ремонтируй все электрические цепи!,Ремонт электрических систем
Срочно электрику в порядок!,Ремонт электрических систем
"Помощник, электрические системы почини!",Ремонт электрических систем
"Чини электрику, пока не рвануло!",Ремонт электрических систем
"Электрика глючит, ремонтируй!",Ремонт электрических систем
Все электрические системы на ремонт!,Ремонт электрических систем
"Почини электрику быстро, чёрт!",Ремонт электрических систем
"Электрические системы в ноль, чини!",Ремонт электрических систем
"Хватай изоленту, ремонтируй!",Ремонт электрических систем
Электрику спасай!,Ремонт электрических систем
"Механик, почини электрические системы сейчас же!",Ремонт электрических систем
"Блин, проводка сгорела, чини!",Ремонт электрических систем
Включи реактор срочно!,Включение питания реактора
"Инженер, запускай реактор, блин!",Включение питания реактора
"Питание на реактор, быстро!",Включение питания реактора
"Реактор в оффлайн, включи!",Включение питания реактора
Стартуй ядерку немедленно!,Включение питания реактора
"Реактор мёртвый, оживи его!",Включение питания реактора
"Капитан, включить реактор сейчас!",Включение питания реактора
Подай питание на реактор!,Включение питания реактора
"Реактор запусти, чёрт!",Включение питания реактора
"Чёрт возьми, реактор включи!",Включение питания реактора
Включи энергию реактора!,Включение питания реактора
"Инженер, запускай реактор лодки!",Включение питания реактора
"Блин, без реактора сдохнем!",Включение питания реактора
Активируй реактор срочно!,Включение питания реактора
Питание реактора подай!,Включение питания реактора
"Помощник, реактор включи!",Включение питания реактора
"Запускай реактор, пока не поздно!",Включение питания реактора
Реактор врубай!,Включение питания реактора
Я сказал стартуем!,Включение питания реактора
Включи реактор быстро!,Включение питания реактора
Реактор на полную!,Включение питания реактора
"Стартуй его, чёрт!",Включение питания реактора
Реактор вкл!,Включение питания реактора
"Механик, включи питание реактора сейчас!",Включение питания реактора
"Блин, реактор вырубился, запускай!",Включение питания реактора
Выключи реактор срочно!,Выключение питания реактора
"Инженер, заглуши реактор, перегрев!",Выключение питания реактора
"Питание реактора off, блин!",Выключение питания реактора
"Реактор рвёт, выруби его!",Выключение питания реактора
Останови ядерку немедленно!,Выключение питания реактора
"Реактор кипит, вырубай!",Выключение питания реактора
"Капитан, выключить реактор сейчас!",Выключение питания реактора
Сними питание с реактора!,Выключение питания реактора
"Реактор останови, чёрт!",Выключение питания реактора
"Чёрт возьми, реактор в ноль!",Выключение питания реактора
Деактивируй реактор!,Выключение питания реактора
Заглушить реактор лодки!,Выключение питания реактора
"Блин, реактор взорвётся!",Выключение питания реактора
Выключи реактор срочно!,Выключение питания реактора
Питание реактора сними!,Выключение питания реактора
"Помощник, реактор выруби!",Выключение питания реактора
"Останови реактор, пока не поздно!",Выключение питания реактора
Реактор выкл!,Выключение питания реактора
"Все с реактора, выключить!",Выключение питания реактора
Заглуши его быстро!,Выключение питания реактора
Реактор в выключи!,Выключение питания реактора
"Останови его, чёрт!",Выключение питания реактора
Реактор выключи!,Выключение питания реактора
"Инженер, выключи питание реактора сейчас!",Выключение питания реактора
"Блин, реактор на пределе, глуши!",Выключение питания реактора
Тревога! Занять боевые посты!,Управление оружием
Привести орудия в готовность!,Управление оружием
"Враг в поле зрения, открыть огонь!",Управление оружием
"Атака с левого борта, отражать!",Управление оружием
"Эти твари лезут на борт, огонь на поражение!",Управление оружием
"Похоже, завелись крысы, нужно протралить отсеки!",Управление оружием
"Вижу цель, пора с ней разобраться!",Управление оружием
"Не дать им приблизиться, в бой!",Управление оружием
"Угроза по корме, срочно к оружию!",Управление оружием
К бою! Приготовиться к отражению атаки!,Управление оружием
"Они идут на абордаж, отбить атаку!",Управление оружием
"Срочно занять оборону, отсечь врага огнём!",Управление оружием
"Нас бьют, отбить атаку!",Управление оружием
"Цель на горизонте, открыть огонь!",Управление оружием
Прицелиться и уничтожить угрозу!,Управление оружием
"Зарядить орудия, приготовиться к бою!",Управление оружием
Атаковать враждебную цель!,Управление оружием
Огонь по моему указанию!,Управление оружием
"Не дать цели приблизиться, стрелять на поражение!",Управление оружием
"Капитан, отступаем!",Навигация назад
Нам нужно вернуться на базу!,Навигация назад
"Мы уже не доплывём, возвращаемся!",Навигация назад
"Слишком большие повреждения, нужно вернуться!",Навигация назад
"Мы сделали всё возможное, уходим!",Навигация назад
Держим курс обратно!,Навигация назад
Возвращаемся на последнюю базу!,Навигация назад
"Ситуация критическая, отходим к предыдущему порту!",Навигация назад
"Слишком опасно, разворачиваемся к цивилизации!",Навигация назад
"Нужен ремонт, берём курс на точку отступления!",Навигация назад
"Лодка не выдержит, срочно к ближайшему аванпосту!",Навигация назад
"Потеряли слишком много экипажа, возвращаемся для пополнения!",Навигация назад
"Задание провалено, отходим к месту вылазки!",Навигация назад
"Топливо на исходе, возвращаемся к последней стоянке!",Навигация назад
"Нас пересилили, отступаем к безопасной зоне!",Навигация назад
"Живыми отсюда не выбраться, отход всей командой!",Навигация назад
Приказываю отойти к точке последнего контакта!,Навигация назад
"Победа не стоит потерь, разворачиваем лодку!",Навигация назад
"Нужна перегруппировка, возврат на базу вылазки!",Навигация назад
"Силы на исходе, держим путь к месту последней стоянки!",Навигация назад
"Лодка еле держится, только до базы и назад...",Навигация назад
"Залечить раны и вернуться, отход!",Навигация назад
"Тактическое отступление, курс — предыдущий порт!",Навигация назад
"Корпус не выдерживает, срочно на базу!",Навигация назад
"У нас течь, возвращаемся в док!",Навигация назад
Взять курс на следующую точку маршрута!,Навигация к пункту назначения
"Курс на точку назначения, полный вперёд!",Навигация к пункту назначения
"Задание получено, выдвигаемся к цели.",Навигация к пункту назначения
"Миссия выполнена, держим путь в доки.",Навигация к пункту назначения
"Вперёд, к новой цели!",Навигация к пункту назначения
Следовать по маршруту к пункту высадки.,Навигация к пункту назначения
"Все на места, отправляемся к месту задания.",Навигация к пункту назначения
Ложимся на курс к указанным координатам.,Навигация к пункту назначения
"Опасность миновала, продолжаем путь.",Навигация к пункту назначения
Ведём лодку к месту следующей миссии.,Навигация к пункту назначения
"Задание ждёт, в путь!",Навигация к пункту назначения
"Ремонт завершён, продолжаем миссию.",Навигация к пункту назначения
Выставить курс на следующий аванпост.,Навигация к пункту назначения
Идём к точке сбора.,Навигация к пункту назначения
Направляемся в док для сдачи задания.,Навигация к пункту назначения
Следовать к отмеченной на карте цели.,Навигация к пункту назначения
"Время пути, полный ход!",Навигация к пункту назначения
"Координаты заданы, начинаем движение.",Навигация к пункту назначения
Отправляемся к месту нового контракта.,Навигация к пункту назначения
Курс на базу приписки.,Навигация к пункту назначения
Вести лодку к указанному месту назначения.,Навигация к пункту назначения
"Задание активировано, следуем по маршруту.",Навигация к пункту назначения
"Все, отбываем к точке назначения.",Навигация к пункту назначения
"Вперёд, к намеченной цели!",Навигация к пункту назначения
"Направление задано, поддерживаем курс.",Навигация к пункту назначения
"Отчаливаем, следуем к цели миссии.",Навигация к пункту назначения
Следовать по проложенному курсу!,Навигация к пункту назначения
"Прекрати что делаешь, задание отменено!",Отстранение
"Брось всё, это больше не важно.",Отстранение
Срочно отставить текущие задачи!,Отстранение
"Задание отменяется, немедленно прекращай.",Отстранение
"Твоя работа здесь закончена, отставить.",Отстранение
"Приоритеты изменились, бросай это.",Отстранение
Оставь свои дела и слушай меня!,Отстранение
Немедленно прекрати выполняемое задание!,Отстранение
Отставить! Вернись на свой пост.,Отстранение
Текущая задача больше не актуальна.,Отстранение
"Хватит это чинить, срочно отставить!",Отстранение
Отбой предыдущего приказа!,Отстранение
"Забудь про старую задачу, она отменена.",Отстранение
Прервать все текущие действия!,Отстранение
"Твоё назначение аннулировано, отставить.",Отстранение
Немедленно прекрати и доложи о готовности.,Отстранение
"Работу прекратить, задание снято.",Отстранение
Отставить! Это больше не требуется.,Отстранение
"Сбрось текущую задачу, она отменяется.",Отстранение
Приказываю бросить текущее занятие!,Отстранение
"Задание завершено досрочно, отставить.",Отстранение
Немедленно отречься от текущих обязанностей!,Отстранение
"Твоя миссия отменена, прекращай.",Отстранение
Срочно отмени свои текущие действия!,Отстранение
"Всё, хватит, задание отменяется.",Отстранение
Освободиться от текущего задания!,Отстранение
Срочно отмени текущую задачу!,Отстранение
"Приказ отменяется, прекрати!",Отстранение
Освободиться от поручения!,Отстранение
